transaction_id,timestamp,amount,merchant_category,transaction_location,device_type,payment_type,customer_age,days_since_last_transaction,transaction_frequency,average_transaction_amount,is_weekend,is_night,distance_from_home,previous_fraud_flag,is_fraud
1,15796,494.49,Electronics,San Francisco,Web,Bank Transfer,30,1,6,240.62,1,0,25.79,1,0
2,861,754.88,Dining,Chicago,Web,Debit Card,22,11,5,321.68,1,0,49.15,0,0
3,76821,103.81,Grocery,Houston,Mobile,Credit Card,42,16,2,287.48,0,1,97.55,1,0
4,54887,536.94,Entertainment,Los Angeles,Mobile,Credit Card,37,9,15,376.47,0,0,33.32,0,0
5,6266,379.44,Travel,Seattle,Mobile,Credit Card,35,1,16,154.29,0,1,59.5,1,0
6,82387,457.54,Entertainment,Chicago,Mobile,Debit Card,64,5,19,291.18,1,0,9.02,1,0
7,37195,604.35,Clothing,San Francisco,Mobile,Credit Card,35,7,9,62.31,1,0,60.6,0,0
8,44132,502.79,Electronics,Chicago,In-store,Debit Card,19,28,19,218.56,0,1,8.96,0,0
9,60264,540.32,Entertainment,New York,Mobile,Credit Card,27,18,7,380.08,0,0,95.92,1,0
10,16024,486.87,Electronics,New York,Mobile,Credit Card,62,10,4,352.83,1,0,71.57,1,0
11,41091,409.55,Entertainment,Houston,In-store,Debit Card,67,30,3,495.51,1,1,78.82,0,0
12,67222,772.11,Grocery,Houston,Mobile,Credit Card,64,24,11,153.39,0,1,70.41,0,0
13,64821,13.19,Grocery,Los Angeles,Web,Bank Transfer,29,30,1,259.13,1,1,58.97,0,0
14,770,598.84,Grocery,Seattle,Mobile,Debit Card,64,11,6,178.17,0,0,44.99,1,0
15,59736,565.94,Grocery,Chicago,Mobile,Debit Card,30,8,11,231.49,0,0,85.84,0,0
16,62956,716.46,Grocery,New York,Web,Debit Card,67,1,1,431.34,1,0,95.68,0,0
17,64926,599.43,Grocery,Houston,Web,Bank Transfer,64,7,7,348.42,1,0,49.9,0,0
18,67970,826.97,Electronics,Seattle,Web,Debit Card,28,25,6,443.57,1,0,93.15,0,0
19,5312,959.12,Travel,Chicago,Web,Credit Card,36,10,14,117.69,0,1,58.33,0,0
20,83105,343.18,Entertainment,Houston,Mobile,Credit Card,52,27,2,439.21,1,0,53.84,1,0
21,53708,228.12,Grocery,Houston,Web,Credit Card,56,20,4,48.69,1,1,45.45,1,1
22,85306,424.17,Electronics,New York,Web,Debit Card,70,3,11,446.53,0,0,20.93,0,0
23,28694,288.64,Electronics,New York,In-store,Credit Card,43,9,15,177.96,0,1,0.37,0,0
24,71933,615.34,Electronics,Houston,Web,Debit Card,63,20,18,171.0,1,0,24.15,1,0
25,25659,911.94,Travel,San Francisco,Web,Credit Card,31,19,1,265.8,0,0,50.97,0,0
26,84479,139.98,Entertainment,Houston,In-store,Bank Transfer,62,15,3,471.53,0,1,38.0,1,0
27,18432,101.69,Travel,Seattle,In-store,Bank Transfer,61,7,3,42.94,0,0,44.85,0,0
28,2748,256.76,Dining,Houston,Mobile,Bank Transfer,41,3,7,189.07,1,1,98.06,1,1
29,59151,726.37,Electronics,Los Angeles,In-store,Bank Transfer,58,28,1,431.15,1,0,35.03,1,0
30,65726,593.37,Dining,Los Angeles,Mobile,Debit Card,18,9,11,210.11,0,0,45.22,0,0
31,84655,103.11,Clothing,Los Angeles,In-store,Credit Card,68,11,6,115.6,0,1,13.35,1,0
32,35774,918.83,Grocery,San Francisco,In-store,Bank Transfer,60,28,3,223.9,0,0,4.8,0,1
33,67436,790.29,Grocery,San Francisco,Mobile,Debit Card,39,13,19,205.07,1,1,77.54,1,0
34,56887,24.0,Travel,Houston,In-store,Bank Transfer,40,15,2,459.4,0,0,57.07,0,0
35,66804,651.72,Entertainment,Los Angeles,Mobile,Bank Transfer,36,21,18,385.73,0,0,76.07,0,0
36,31552,771.48,Dining,San Francisco,In-store,Debit Card,35,17,12,262.46,1,0,14.99,0,0
37,11395,375.06,Entertainment,New York,Web,Debit Card,29,20,10,494.42,0,0,57.18,1,0
38,69093,69.85,Travel,Houston,In-store,Credit Card,45,21,5,243.33,1,0,25.36,0,0
39,3891,78.24,Grocery,Seattle,Mobile,Credit Card,45,20,9,47.95,1,0,22.81,0,0
40,41607,105.14,Entertainment,Chicago,In-store,Bank Transfer,50,11,2,145.89,1,0,1.15,0,0
41,80039,840.6,Entertainment,Houston,Mobile,Bank Transfer,36,17,2,229.31,0,1,13.03,1,0
42,10628,910.78,Grocery,Chicago,Mobile,Credit Card,45,29,6,95.31,0,0,30.93,0,0
43,8793,123.69,Dining,Los Angeles,Web,Credit Card,69,6,10,474.83,1,0,11.69,1,0
44,73970,236.67,Grocery,Chicago,Web,Debit Card,66,19,18,388.09,0,0,98.59,1,1
45,43002,166.35,Entertainment,Los Angeles,Mobile,Credit Card,54,23,12,148.78,1,1,30.86,1,0
46,76553,187.13,Dining,New York,In-store,Credit Card,43,22,4,303.59,0,1,13.03,0,0
47,23898,837.65,Dining,Chicago,Mobile,Bank Transfer,52,6,17,366.3,1,0,19.91,0,0
48,68149,332.81,Grocery,Houston,Mobile,Credit Card,51,8,15,471.81,1,0,58.77,1,0
49,23484,312.13,Entertainment,Los Angeles,In-store,Bank Transfer,52,0,6,443.18,0,0,6.4,0,0
50,48556,228.17,Travel,Houston,In-store,Credit Card,57,25,16,267.29,0,1,86.24,0,0
51,17160,608.29,Entertainment,San Francisco,In-store,Debit Card,33,5,17,391.83,0,0,96.15,1,0
52,80078,379.93,Electronics,Los Angeles,In-store,Credit Card,55,5,3,289.83,0,1,24.67,1,0
53,35921,744.51,Clothing,Chicago,Mobile,Credit Card,30,21,10,285.3,1,0,45.01,0,0
54,67122,206.37,Travel,Los Angeles,Mobile,Credit Card,40,28,5,75.08,1,1,2.21,1,0
55,69480,788.0,Dining,Houston,Web,Bank Transfer,39,11,14,80.55,0,1,64.07,0,0
56,19458,604.12,Travel,New York,Mobile,Debit Card,33,21,13,274.18,0,0,41.39,1,0
57,66558,115.15,Dining,Los Angeles,In-store,Credit Card,45,11,6,149.05,1,0,27.01,0,1
58,77190,415.09,Dining,Chicago,Web,Bank Transfer,65,9,12,30.1,0,0,20.68,0,0
59,78954,863.65,Travel,San Francisco,In-store,Debit Card,52,22,8,366.96,0,0,65.4,1,0
60,52996,923.04,Dining,Seattle,Mobile,Bank Transfer,62,29,5,35.59,0,0,41.62,0,0
61,40758,466.23,Dining,New York,Web,Bank Transfer,63,25,15,305.73,0,0,17.97,0,0
62,9693,481.36,Electronics,San Francisco,In-store,Debit Card,25,5,16,278.81,1,0,68.91,1,0
63,45759,918.54,Entertainment,Los Angeles,Web,Credit Card,61,16,1,485.03,1,1,56.51,0,0
64,72410,587.48,Entertainment,Houston,Web,Bank Transfer,39,18,16,252.42,0,0,85.87,0,0
65,71212,33.81,Clothing,Houston,Mobile,Bank Transfer,38,17,5,50.53,1,0,11.75,0,0
66,65698,912.84,Clothing,Chicago,In-store,Credit Card,43,5,3,284.81,0,1,78.57,1,0
67,37066,248.98,Electronics,Houston,Web,Credit Card,57,23,15,423.73,0,0,67.35,1,0
68,32607,578.05,Clothing,New York,Web,Debit Card,38,18,13,498.49,0,0,11.5,1,0
69,11535,166.35,Travel,Houston,In-store,Debit Card,42,9,16,226.56,1,0,69.48,1,0
70,40398,34.85,Grocery,Chicago,Web,Debit Card,58,23,11,173.74,1,0,44.15,1,0
71,1017,312.16,Grocery,Seattle,Web,Credit Card,18,7,2,455.19,1,1,94.5,0,0
72,55592,780.72,Grocery,Los Angeles,Web,Bank Transfer,23,20,6,111.8,1,1,14.16,0,0
73,23248,278.31,Electronics,Los Angeles,In-store,Bank Transfer,40,23,6,315.41,1,0,64.28,0,0
74,24301,220.88,Electronics,Houston,In-store,Debit Card,68,5,14,214.74,0,0,38.2,1,0
75,74066,213.47,Dining,San Francisco,In-store,Credit Card,40,20,11,39.72,0,1,95.68,0,0
76,82799,515.66,Grocery,Los Angeles,In-store,Bank Transfer,60,24,8,186.7,1,0,33.0,1,0
77,9269,975.57,Travel,Seattle,Mobile,Debit Card,60,29,8,147.31,1,1,96.22,0,0
78,12186,459.53,Clothing,Houston,Web,Bank Transfer,40,6,1,349.32,1,1,90.15,1,0
79,63705,557.75,Travel,Chicago,In-store,Bank Transfer,49,23,7,475.42,0,1,27.04,0,0
80,39100,860.77,Clothing,Seattle,Web,Credit Card,47,0,6,148.66,1,0,80.35,0,0
81,8572,535.53,Grocery,Houston,Web,Credit Card,30,26,8,409.5,0,0,99.56,1,0
82,38045,185.28,Grocery,Seattle,Mobile,Bank Transfer,60,17,19,46.57,0,0,25.27,0,0
83,51215,300.3,Grocery,Los Angeles,In-store,Debit Card,35,23,8,278.3,1,1,43.68,0,0
84,61229,310.63,Electronics,Chicago,In-store,Credit Card,40,27,14,53.86,0,0,52.02,1,0
85,48985,397.92,Clothing,Houston,Web,Bank Transfer,32,24,18,468.34,0,0,29.49,0,0
86,40775,427.36,Electronics,New York,In-store,Credit Card,50,19,16,387.85,1,1,1.53,0,0
87,2569,799.98,Electronics,Chicago,Web,Credit Card,38,11,9,335.82,0,0,22.01,1,0
88,62593,350.04,Entertainment,New York,Web,Credit Card,56,15,15,415.47,1,0,28.19,1,1
89,67564,468.76,Travel,Seattle,Mobile,Bank Transfer,40,9,10,330.81,0,0,44.36,1,1
90,2696,625.35,Travel,San Francisco,Mobile,Debit Card,44,26,16,485.09,1,1,17.11,1,0
91,48191,378.35,Dining,Chicago,Mobile,Debit Card,62,9,4,362.7,1,0,87.33,1,0
92,5259,836.73,Electronics,Seattle,Web,Debit Card,61,13,13,463.84,0,1,70.49,0,0
93,39505,587.87,Clothing,New York,In-store,Credit Card,35,24,5,268.22,1,1,8.52,1,0
94,33160,294.75,Entertainment,Los Angeles,Mobile,Bank Transfer,41,19,7,76.19,0,1,65.01,1,0
95,13987,714.35,Entertainment,Los Angeles,In-store,Credit Card,68,9,9,273.53,0,0,65.37,0,1
96,61859,528.12,Travel,San Francisco,Mobile,Debit Card,64,9,8,80.9,1,0,95.62,0,0
97,12667,534.92,Electronics,Chicago,Mobile,Debit Card,57,25,16,304.4,0,0,0.3,0,0
98,38661,481.61,Dining,Chicago,Web,Bank Transfer,68,24,6,251.6,1,1,24.79,0,0
99,3562,497.51,Electronics,Chicago,Mobile,Credit Card,59,10,16,318.84,0,1,92.78,0,0
100,26855,765.59,Grocery,Seattle,Mobile,Debit Card,24,22,6,24.82,0,0,93.21,1,1
101,64506,103.88,Electronics,San Francisco,Web,Bank Transfer,67,1,14,113.52,1,1,72.06,0,0
102,52252,335.03,Grocery,Chicago,In-store,Credit Card,65,24,1,255.84,0,0,76.58,1,0
103,22663,76.43,Grocery,Seattle,Mobile,Credit Card,37,19,9,476.24,0,0,9.15,0,0
104,8393,753.49,Dining,Los Angeles,Web,Debit Card,44,7,13,204.13,0,0,51.39,1,0
105,30536,273.03,Clothing,New York,Mobile,Debit Card,23,29,19,223.7,0,0,23.16,0,0
106,78604,897.53,Travel,Seattle,Web,Credit Card,44,22,17,363.05,0,0,18.12,1,0
107,52257,527.05,Electronics,Los Angeles,In-store,Credit Card,26,28,11,309.82,0,0,81.03,1,0
108,35223,800.95,Grocery,Los Angeles,In-store,Debit Card,70,30,8,163.48,0,0,13.5,1,0
109,77374,978.95,Electronics,New York,Web,Credit Card,62,6,5,217.19,0,1,46.87,1,0
110,79576,839.95,Clothing,Los Angeles,Web,Debit Card,48,7,10,124.5,1,0,93.86,1,0
111,84652,867.13,Travel,San Francisco,Web,Credit Card,38,0,7,483.69,0,1,18.58,1,0
112,63336,408.58,Clothing,New York,In-store,Debit Card,43,20,10,82.7,0,1,97.8,1,0
113,10966,552.17,Travel,Los Angeles,Mobile,Bank Transfer,57,1,4,198.48,1,0,99.43,1,0
114,24539,254.63,Entertainment,Houston,In-store,Debit Card,65,17,9,32.4,1,1,55.56,1,1
115,70593,196.92,Travel,Seattle,Web,Debit Card,62,14,14,126.45,1,1,17.01,1,0
116,8111,506.0,Dining,Los Angeles,Web,Bank Transfer,30,0,2,394.63,0,1,31.61,0,0
117,79310,595.45,Clothing,San Francisco,In-store,Credit Card,66,4,9,116.56,1,0,42.45,1,0
118,27267,339.93,Grocery,Chicago,Web,Bank Transfer,40,1,1,58.43,1,0,30.93,1,0
119,52993,569.87,Entertainment,Los Angeles,In-store,Debit Card,37,19,10,247.74,0,0,28.06,0,0
120,82949,887.57,Dining,Chicago,Web,Credit Card,54,2,10,24.79,0,0,97.22,1,0
121,6911,557.16,Electronics,Houston,Mobile,Bank Transfer,70,18,3,60.69,1,0,15.34,1,0
122,207,721.09,Clothing,Los Angeles,Mobile,Credit Card,45,17,6,407.66,1,1,73.33,0,0
123,23420,805.51,Grocery,New York,Web,Credit Card,34,28,6,390.31,0,1,0.04,0,0
124,50637,988.74,Travel,Chicago,In-store,Bank Transfer,45,21,2,459.27,0,0,59.62,1,0
125,50016,603.59,Grocery,Houston,Mobile,Credit Card,58,17,18,430.17,0,1,91.59,0,0
126,54269,807.04,Electronics,New York,In-store,Bank Transfer,19,13,2,347.92,0,1,28.79,1,0
127,18142,962.69,Entertainment,New York,Web,Debit Card,42,29,12,45.12,0,1,18.55,1,0
128,80357,944.47,Entertainment,New York,In-store,Credit Card,67,23,5,395.77,1,1,65.17,1,0
